sentence_id,words,labels
82,song,O
82,Bad,B-SONG
82,Guy,I-SONG
82,by,O
82,Billie,B-ARTIST
82,Eilish,I-ARTIST
83,Launch,O
83,YouTube,B-APP
83,and,O
83,play,O
83,Stay,B-SONG
83,by,O
83,The,B-ARTIST
83,Kid,I-ARTIST
83,LAROI,I-ARTIST
84,Stream,O
84,positions,B-SONG
84,by,O
84,Ariana,B-ARTIST
84,Grande,I-ARTIST
85,Can,O
85,you,O
85,put,O
85,on,O
85,After,B-ALBUM
85,Hours,I-ALBUM
85,by,O
85,The,B-ARTIST
85,Weeknd,I-ARTIST
86,Play,O
86,Savage,B-SONG
86,Love,I-SONG
86,by,O
86,Jason,B-ARTIST
86,Derulo,I-ARTIST
87,Open,O
87,Spotify,B-APP
87,to,O
87,listen,O
87,to,O
87,Old,B-SONG
87,Town,I-SONG
87,Road,I-SONG
87,by,O
87,Lil,B-ARTIST
87,Nas,I-ARTIST
87,X,I-ARTIST
88,Start,O
88,listening,O
88,to,O
88,Señorita,B-SONG
88,by,O
88,Camila,B-ARTIST
88,Cabello,I-ARTIST
89,Stream,O
89,the,O
89,album,O
89,Justice,B-ALBUM
89,by,O
89,Justin,B-ARTIST
89,Bieber,I-ARTIST
