sentence_id,words,labels
82,on,O
82,the,O
82,song,O
82,Bad,B-SONG
82,Guy,I-SONG
82,by,O
82,Billie,B-ARTIST
82,Eilish,I-ARTIST
83,Launch,O
83,YouTube,B-APP
83,and,O
83,play,O
83,Stay,B-SONG
83,by,O
83,The,B-ARTIST
83,Kid,I-ARTIST
83,LAROI,I-ARTIST
84,Stream,O
84,positions,B-SONG
84,by,O
84,Ariana,B-ARTIST
84,Grande,I-ARTIST
85,Can,O
85,you,O
85,put,O
85,on,O
85,After,B-ALBUM
85,Hours,I-ALBUM
85,by,O
85,The,B-ARTIST
85,Weeknd,I-ARTIST
86,Play,O
86,Savage,B-SONG
86,Love,I-SONG
86,by,O
86,Jason,B-ARTIST
86,Derulo,I-ARTIST
87,Open,O
87,Spotify,B-APP
87,to,O
87,listen,O
87,to,O
87,Old,B-SONG
87,Town,I-SONG
87,Road,I-SONG
87,by,O
87,Lil,B-ARTIST
87,Nas,I-ARTIST
87,X,I-ARTIST
88,Start,O
88,listening,O
88,to,O
88,Señorita,B-SONG
88,by,O
88,Camila,B-ARTIST
88,Cabello,I-ARTIST
89,Stream,O
89,the,O
89,album,O
89,Justice,B-ALBUM
89,by,O
89,Justin,B-ARTIST
89,Bieber,I-ARTIST
90,Play,O
90,Watermelon,B-SONG
90,Sugar,I-SONG
90,by,O
90,Harry,B-ARTIST
90,Styles,I-ARTIST
91,Can,O
91,you,O
91,put,O
91,on,O
91,Peaches,B-SONG
91,by,O
91,Justin,B-ARTIST
91,Bieber,I-ARTIST
92,Stream,O
92,the,O
92,album,O
92,Red,B-ALBUM
92,by,O
92,Taylor,B-ARTIST
92,Swift,I-ARTIST
93,I,O
93,want,O
93,rock,B-GENRE
93,from,O
93,the,O
93,60s,O
94,Launch,O
94,Apple,B-APP
94,Music,I-APP
94,and,O
94,play,O
94,Peaches,B-SONG
95,Play,O
95,drivers,B-SONG
95,license,I-SONG
95,on,O
95,Spotify,B-APP
96,Give,O
96,me,O
96,some,O
96,EDM,B-GENRE
96,music,O
97,Put,O
97,on,O
97,the,O
97,album,O
97,Justice,B-ALBUM
97,by,O
97,Justin,B-ARTIST
97,Bieber,I-ARTIST
98,Stream,O
98,Happier,B-SONG
98,by,O
98,Marshmello,B-ARTIST
99,Open,O
99,YouTube,B-APP
99,and,O
99,play,O
99,Bad,B-SONG
99,Blood,I-SONG
99,by,O
99,Taylor,B-ARTIST
99,Swift,I-ARTIST
100,Can,O
100,you,O
100,launch,O
100,Spotify,B-APP
100,and,O
100,stream,O
100,Senorita,B-SONG
101,I,O
101,want,O
101,pop,B-GENRE
101,hits,O
101,from,O
101,the,O
101,90s,O
102,Please,O
102,play,O
102,Summer,B-SONG
102,of,I-SONG
102,'69,I-SONG
102,by,O
102,Bryan,B-ARTIST
102,Adams,I-ARTIST
103,Play,O
103,the,O
103,album,O
103,1989,B-ALBUM
103,by,O
103,Taylor,B-ARTIST
103,Swift,I-ARTIST
104,Put,O
104,on,O
104,Counting,B-SONG
104,Stars,I-SONG
104,by,O
104,OneRepublic,B-ARTIST
105,Stream,O
105,Lucid,B-SONG
105,Dreams,I-SONG
105,on,O
105,Spotify,B-APP
106,I'd,O
106,like,O
106,to,O
106,listen,O
106,to,O
106,some,O
106,country,B-GENRE
106,music,O
107,Open,O
107,Amazon,B-APP
107,Music,I-APP
107,and,O
107,play,O
107,Levitating,B-SONG
108,Play,O
108,Happy,B-SONG
108,by,O
108,Pharrell,B-ARTIST
108,Williams,I-ARTIST
109,Can,O
109,you,O
109,stream,O
109,the,O
109,album,O
109,Thriller,B-ALBUM
109,by,O
109,Michael,B-ARTIST
109,Jackson,I-ARTIST
110,Launch,O
110,Spotify,B-APP
110,and,O
110,play,O
110,Old,B-SONG
110,Town,I-SONG
110,Road,I-SONG
110,by,O
110,Lil,B-ARTIST
110,Nas,I-ARTIST
110,X,I-ARTIST
111,Play,O
111,the,O
111,song,O
111,Stay,B-SONG
111,by,O
111,The,B-ARTIST
111,Kid,I-ARTIST
111,LAROI,I-ARTIST
112,Stream,O
112,MONTERO,B-SONG
112,by,O
112,Lil,B-ARTIST
112,Nas,I-ARTIST
112,X,I-ARTIST
113,Put,O
113,on,O
113,the,O
113,album,O
113,After,B-ALBUM
113,Hours,I-ALBUM
113,by,O
113,The,B-ARTIST
113,Weeknd,I-ARTIST
114,I,O
114,want,O
114,hip-hop,B-GENRE
114,from,O
114,the,O
114,early,O
114,2000s,O
115,Launch,O
115,YouTube,B-APP
115,Music,I-APP
115,and,O
115,play,O
115,Bohemian,B-SONG
115,Rhapsody,I-SONG
116,Play,O
116,Chandelier,B-SONG
116,on,O
116,Apple,B-APP
116,Music,I-APP
117,Open,O
117,Spotify,B-APP
117,and,O
117,stream,O
117,Shape,B-SONG
117,of,I-SONG
117,You,I-SONG
118,Put,O
118,on,O
118,some,O
118,classical,B-GENRE
118,music,O
119,Can,O
119,you,O
119,stream,O
119,Golden,B-SONG
119,by,O
119,Harry,B-ARTIST
119,Styles,I-ARTIST
120,Launch,O
120,Spotify,B-APP
120,and,O
120,play,O
120,Someone,B-SONG
120,Like,I-SONG
120,You,I-SONG
121,Play,O
121,Bad,B-SONG
121,Guy,I-SONG
121,by,O
121,Billie,B-ARTIST
121,Eilish,I-ARTIST
122,Stream,O
122,The,B-ALBUM
122,Eminem,I-ALBUM
122,Show,I-ALBUM
122,album,O
123,I,O
123,want,O
123,jazz,B-GENRE
123,from,O
123,the,O
123,80s,O
124,Put,O
124,on,O
124,Good,B-SONG
124,4,I-SONG
124,U,I-SONG
124,by,O
124,Olivia,B-ARTIST
124,Rodrigo,I-ARTIST
125,Open,O
125,Amazon,B-APP
125,Music,I-APP
125,and,O
125,play,O
125,Shallow,B-SONG
126,Launch,O
126,Spotify,B-APP
126,stream,O
126,the,O
126,album,O
126,Folklore,B-ALBUM
127,Play,O
127,the,O
127,song,O
127,Sunflower,B-SONG
127,by,O
127,Post,B-ARTIST
127,Malone,I-ARTIST
128,Stream,O
128,positions,B-SONG
128,by,O
128,Ariana,B-ARTIST
128,Grande,I-ARTIST
129,Give,O
129,me,O
129,some,O
129,indie,B-GENRE
129,rock,O
130,Put,O
130,on,O
130,Dance,B-SONG
130,Monkey,I-SONG
131,Play,O
131,the,O
131,album,O
131,SOUR,B-ALBUM
131,by,O
131,Olivia,B-ARTIST
131,Rodrigo,I-ARTIST
132,Launch,O
132,Apple,B-APP
132,Music,I-APP
132,and,O
132,stream,O
132,Smooth,B-SONG
132,Criminal,I-SONG
133,I,O
133,want,O
133,some,O
133,R&B,B-GENRE
133,vibes,O
134,Open,O
134,YouTube,B-APP
134,Music,I-APP
134,and,O
134,play,O
134,Dynamite,B-SONG
135,Play,O
135,Lucid,B-SONG
135,Dreams,I-SONG
135,by,O
135,Juice,B-ARTIST
135,WRLD,I-ARTIST
136,Stream,O
136,the,O
136,album,O
136,Planet,B-ALBUM
136,Her,I-ALBUM
136,by,O
136,Doja,B-ARTIST
136,Cat,I-ARTIST
137,Put,O
137,on,O
137,Somebody,B-SONG
137,That,I-SONG
137,I,I-SONG
137,Used,I-SONG
137,to,I-SONG
137,Know,I-SONG
138,I,O
138,feel,O
138,like,O
138,listening,O
138,to,O
138,rap,B-GENRE
139,Play,O
139,Bones,B-SONG
139,by,O
139,Imagine,B-ARTIST
139,Dragons,I-ARTIST
140,Launch,O
140,Spotify,B-APP
140,and,O
140,stream,O
140,the,O
140,album,O
140,Lover,B-ALBUM
141,Open,O
141,Amazon,B-APP
141,Music,I-APP
141,and,O
141,play,O
141,Heat,B-SONG
141,Waves,I-SONG
142,Stream,O
142,Savage,B-SONG
142,Love,I-SONG
142,by,O
142,Jason,B-ARTIST
142,Derulo,I-ARTIST
143,I,O
143,want,O
143,to,O
143,listen,O
143,to,O
143,reggae,B-GENRE
144,Play,O
144,the,O
144,album,O
144,Scorpion,B-ALBUM
144,by,O
144,Drake,B-ARTIST
145,Put,O
145,on,O
145,drivers,B-SONG
145,license,I-SONG
146,Launch,O
146,Spotify,B-APP
146,and,O
146,play,O
146,SICKO,B-SONG
146,MODE,I-SONG
147,Stream,O
147,the,O
147,album,O
147,Certified,B-ALBUM
147,Lover,I-ALBUM
147,Boy,I-ALBUM
147,by,O
147,Drake,B-ARTIST
148,Open,O
148,Apple,B-APP
148,Music,I-APP
148,and,O
148,play,O
148,Rockstar,B-SONG
149,Play,O
149,Blinding,B-SONG
149,Lights,I-SONG
149,by,O
149,The,B-ARTIST
149,Weeknd,I-ARTIST
150,I,O
150,want,O
150,electronic,B-GENRE
150,music,O
151,Put,O
151,on,O
151,the,O
151,album,O
151,Happier,B-ALBUM
151,Than,I-ALBUM
151,Ever,I-ALBUM
152,Stream,O
152,Take,B-SONG
152,Me,I-SONG
152,To,I-SONG
152,Church,I-SONG
152,by,O
152,Hozier,B-ARTIST
153,Play,O
153,Industry,B-SONG
153,Baby,I-SONG
153,by,O
153,Lil,B-ARTIST
153,Nas,I-ARTIST
153,X,I-ARTIST
154,Open,O
154,Spotify,B-APP
154,and,O
154,play,O
154,Good,B-SONG
154,Days,I-SONG
155,Launch,O
155,Spotify,B-APP
155,and,O
155,stream,O
155,Memories,B-SONG
155,by,O
155,Maroon,B-ARTIST
155,5,I-ARTIST
156,Put,O
156,on,O
156,some,O
156,lofi,B-GENRE
156,beats,O
157,I,O
157,want,O
157,some,O
157,metal,B-GENRE
157,music,O
158,Play,O
158,the,O
158,album,O
158,Dangerous,B-ALBUM
158,by,O
158,Michael,B-ARTIST
158,Jackson,I-ARTIST
159,Stream,O
159,Firework,B-SONG
159,by,O
159,Katy,B-ARTIST
159,Perry,I-ARTIST
160,Open,O
160,Apple,B-APP
160,Music,I-APP
160,and,O
160,play,O
160,Halo,B-SONG
161,Put,O
161,on,O
161,some,O
161,dubstep,B-GENRE
162,Launch,O
162,Spotify,B-APP
162,and,O
162,stream,O
162,Billie,B-SONG
162,Jean,I-SONG
163,I,O
163,want,O
163,the,O
163,album,O
163,Positions,B-ALBUM
163,by,O
163,Ariana,B-ARTIST
163,Grande,I-ARTIST
164,Play,O
164,Closer,B-SONG
164,by,O
164,The,B-ARTIST
164,Chainsmokers,I-ARTIST
165,Open,O
165,Spotify,B-APP
165,and,O
165,play,O
165,7,B-SONG
165,Rings,I-SONG
166,Stream,O
166,the,O
166,album,O
166,When,B-ALBUM
166,We,I-ALBUM
166,All,I-ALBUM
166,Fall,I-ALBUM
166,Asleep,I-ALBUM
167,Put,O
167,on,O
167,Wake,B-SONG
167,Me,I-SONG
167,Up,I-SONG
168,Play,O
168,Bad,B-SONG
168,Habit,I-SONG
168,by,O
168,Steve,B-ARTIST
168,Lacy,I-ARTIST
169,Launch,O
169,Spotify,B-APP
169,and,O
169,stream,O
169,the,O
169,album,O
169,Evolve,B-ALBUM
170,Stream,O
170,Levitating,B-SONG
170,by,O
170,Dua,B-ARTIST
170,Lipa,I-ARTIST
171,Put,O
171,on,O
171,Happier,B-SONG
171,by,O
171,Marshmello,B-ARTIST
172,Open,O
172,YouTube,B-APP
172,Music,I-APP
172,and,O
172,play,O
172,Old,B-SONG
172,Town,I-SONG
172,Road,I-SONG
173,Stream,O
173,Watermelon,B-SONG
173,Sugar,I-SONG
173,by,O
173,Harry,B-ARTIST
173,Styles,I-ARTIST
174,Play,O
174,the,O
174,album,O
174,Future,B-ALBUM
174,Nostalgia,I-ALBUM
174,by,O
174,Dua,B-ARTIST
174,Lipa,I-ARTIST
175,Launch,O
175,Apple,B-APP
175,Music,I-APP
175,and,O
175,stream,O
175,Peaches,B-SONG
175,by,O
175,Justin,B-ARTIST
175,Bieber,I-ARTIST
176,I,O
176,want,O
176,rock,B-GENRE
176,classics,O
177,Put,O
177,on,O
177,the,O
177,album,O
177,Evermore,B-ALBUM
178,Play,O
178,As,B-SONG
178,It,I-SONG
178,Was,I-SONG
179,Stream,O
179,Butter,B-SONG
179,by,O
179,BTS,B-ARTIST
180,Open,O
180,Amazon,B-APP
180,Music,I-APP
180,and,O
180,play,O
180,Montero,B-SONG
180,(Call,I-SONG
180,Me,I-SONG
180,By,I-SONG
180,Your,I-SONG
180,Name),I-SONG
181,Launch,O
181,Spotify,B-APP
181,and,O
181,stream,O
181,Streets,B-SONG
181,by,O
181,Doja,B-ARTIST
181,Cat,I-ARTIST
182,Play,O
182,the,O
182,album,O
182,30,B-ALBUM
182,by,O
182,Adele,B-ARTIST
183,I,O
183,want,O
183,some,O
183,mellow,B-GENRE
183,tunes,O
184,Put,O
184,on,O
184,abcdefu,B-SONG
185,Open,O
185,YouTube,B-APP
185,Music,I-APP
185,and,O
185,play,O
185,STAY,B-SONG
185,by,O
185,The,B-ARTIST
185,Kid,I-ARTIST
185,LAROI,I-ARTIST
186,Stream,O
186,the,O
186,album,O
186,Justice,B-ALBUM
186,by,O
186,Justin,B-ARTIST
186,Bieber,I-ARTIST
187,Launch,O
187,Apple,B-APP
187,Music,I-APP
187,and,O
187,stream,O
187,Snowman,B-SONG
187,by,O
187,Sia,B-ARTIST
188,Play,O
188,Easy,B-SONG
188,On,I-SONG
188,Me,I-SONG
189,I,O
189,feel,O
189,like,O
189,listening,O
189,to,O
189,synth-pop,B-GENRE
190,Put,O
190,on,O
190,the,O
190,album,O
190,Dawn,B-ALBUM
190,Fm,I-ALBUM
191,Stream,O
191,Cold,B-SONG
191,Heart,I-SONG
191,by,O
191,Elton,B-ARTIST
191,John,I-ARTIST
191,and,O
191,Dua,B-ARTIST
191,Lipa,I-ARTIST
192,Open,O
192,Spotify,B-APP
192,and,O
192,play,O
192,Shivers,B-SONG
193,Launch,O
193,Spotify,B-APP
193,and,O
193,stream,O
193,Enchanted,B-SONG
194,Play,O
194,the,O
194,album,O
194,Red,B-ALBUM
194,(Taylor’s,I-ALBUM
194,Version),I-ALBUM
195,I,O
195,want,O
195,some,O
195,lofi,B-GENRE
195,music,O
196,Put,O
196,on,O
196,Unholy,B-SONG
196,by,O
196,Sam,B-ARTIST
196,Smith,I-ARTIST
197,Stream,O
197,the,O
197,album,O
197,Midnights,B-ALBUM
198,Play,O
198,As,B-SONG
198,It,I-SONG
198,Was,I-SONG
198,by,O
198,Harry,B-ARTIST
198,Styles,I-ARTIST
199,Launch,O
199,Apple,B-APP
199,Music,I-APP
199,and,O
199,stream,O
199,About,B-SONG
199,Damn,I-SONG
199,Time,I-SONG
200,Open,O
200,YouTube,B-APP
200,Music,I-APP
200,and,O
200,play,O
200,Flowers,B-SONG
200,by,O
200,Miley,B-ARTIST
200,Cyrus,I-ARTIST
201,Put,O
201,on,O
201,the,O
201,album,O
201,Endless,B-ALBUM
201,Summer,I-ALBUM
201,Vacation,I-ALBUM
202,I,O
202,want,O
202,some,O
202,Afrobeats,B-GENRE
203,Stream,O
203,Calm,B-SONG
203,Down,I-SONG
203,by,O
203,Rema,B-ARTIST
204,Play,O
204,Peru,B-SONG
204,by,O
204,Fireboy,B-ARTIST
204,DML,I-ARTIST
205,Open,O
205,Spotify,B-APP
205,and,O
205,play,O
205,Last,B-SONG
205,Last,I-SONG
206,Launch,O
206,Spotify,B-APP
206,and,O
206,stream,O
206,the,O
206,album,O
206,Rave,B-ALBUM
206,&,I-ALBUM
206,Roses,I-ALBUM
207,I,O
207,want,O
207,Nigerian,B-GENRE
207,pop,O
208,Put,O
208,on,O
208,Buga,B-SONG
208,by,O
208,Kizz,B-ARTIST
208,Daniel,I-ARTIST
209,Stream,O
209,Essence,B-SONG
209,by,O
209,Wizkid,B-ARTIST
210,Play,O
210,the,O
210,album,O
210,Made,B-ALBUM
210,in,I-ALBUM
210,Lagos,I-ALBUM
211,Open,O
211,Apple,B-APP
211,Music,I-APP
211,and,O
211,stream,O
211,Rush,B-SONG
211,by,O
211,Ayra,B-ARTIST
211,Starr,I-ARTIST
212,Launch,O
212,Spotify,B-APP
212,and,O
212,play,O
212,Cough,B-SONG
212,(Odo),I-SONG
213,I,O
213,want,O
213,some,O
213,soca,B-GENRE
213,vibes,O
214,Put,O
214,on,O
214,Famalay,B-SONG
214,by,O
214,Machel,B-ARTIST
214,Montano,I-ARTIST
215,Stream,O
215,the,O
215,album,O
215,Soca,B-ALBUM
215,King,I-ALBUM
216,Play,O
216,Savannah,B-SONG
216,Grass,I-SONG
217,Open,O
217,Spotify,B-APP
217,and,O
217,play,O
217,Like,B-SONG
217,Yuh,I-SONG
218,I,O
218,want,O
